sweep,symbol,timeframe,sl_pct,rr,tp_pct,max_hold,trail_act,trail_dist,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,max_dd,sharpe
TIME,SOL,1h,0.02,2.0,0.04,50.0,,,59,20,39,0.3389830508474576,-0.025712048582426726,0.0389400000000001,-0.02062851406621612,0.968040194515754,0.2580620485824287,-0.24462067752337743
TIME,SOL,1h,0.02,2.0,0.04,100.0,,,58,20,38,0.3448275862068966,-0.021519999999996174,0.03894000000000009,-0.021061052631578894,0.9731107556977258,0.25386999999999815,-0.20652699099160016
TIME,SOL,15m,0.02,2.0,0.04,5.0,,,319,110,209,0.3448275862068966,-0.8010027077528776,0.0076332132147500925,-0.007850029480265015,0.5117790512051077,0.80889552249793,-3.9273945404638546
TIME,SOL,15m,0.02,2.0,0.04,10.0,,,267,97,170,0.36329588014981273,-0.6937513026430896,0.010949347996290193,-0.010328459166371992,0.6048887883650264,0.7012525442928188,-3.056009398330395
TIME,SOL,15m,0.02,2.0,0.04,20.0,,,219,94,125,0.4292237442922374,-0.48303965029656026,0.012381476684078971,-0.013175187668799866,0.7066973693647218,0.5597681812030528,-2.1785468373222088
TIME,SOL,15m,0.02,2.0,0.04,50.0,,,149,67,82,0.44966442953020136,-0.009269821602920354,0.022098659655904376,-0.01816926851888431,0.9937781422077524,0.21568859275635271,-0.04357565751718908
TIME,SOL,15m,0.02,2.0,0.04,100.0,,,113,47,66,0.415929203539823,0.12120871512665489,0.03095161960265522,-0.02020480918482031,1.0908939880074167,0.17442320514116588,0.6412407459755205
TIME,XAU,1h,0.02,2.0,0.04,5.0,,,68,17,51,0.25,-0.1964895294324337,0.0032977332961667957,-0.0049519803032797875,0.22198077632246413,0.2065142704238369,-8.750963143851049
TIME,XAU,1h,0.02,2.0,0.04,10.0,,,59,22,37,0.3728813559322034,-0.14107638424326577,0.004096098783615341,-0.006248393445481169,0.3897831045553861,0.15415230831522053,-5.2095200460670466
TIME,XAU,1h,0.02,2.0,0.04,20.0,,,44,16,28,0.36363636363636365,-0.07277693548532815,0.008528702887779707,-0.007472720774635838,0.6521780559290586,0.10215566185330101,-2.3904717256336716
TIME,XAU,1h,0.02,2.0,0.04,50.0,,,31,12,19,0.3870967741935484,-0.05643184923836424,0.01569352444462483,-0.012881796977571696,0.7694345491156123,0.09247215708923988,-1.6807014991434446
TIME,XAU,1h,0.02,2.0,0.04,100.0,,,21,7,14,0.3333333333333333,-0.1365549997945406,0.019791722830704333,-0.019649789972105067,0.503611561721544,0.1752660325742886,-4.949467074764727
TIME,XAU,15m,0.02,2.0,0.04,5.0,,,292,78,214,0.2671232876712329,-0.4750054361355776,0.0036605939717338732,-0.003553886756686077,0.37542985393356226,0.49410070425572183,-4.715593173723115
TIME,XAU,15m,0.02,2.0,0.04,10.0,,,239,69,170,0.28870292887029286,-0.3211862138862672,0.00590962264550864,-0.0042879422142727275,0.5593852306053831,0.3553453663583686,-2.9206262535764815
TIME,XAU,15m,0.02,2.0,0.04,20.0,,,185,51,134,0.2756756756756757,-0.47553759399473705,0.006052397549205343,-0.00585231245525529,0.3936092712036704,0.4678952265127754,-4.993592645251852
